,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,中银金融商务有限公司,中银商务,2000人以上,不需要融资,海淀区,应用开发助理工程师（智能化应用方向）,1-3年,本科,15k-25k,六险一金 节日福利 高温补助 绩效奖金,金融,开发|测试|运维类,"绩效奖金,年底双薪,五险一金,带薪年假",后端开发,北京
1,浙江省农村信用社联合社,浙江农信,2000人以上,未融资,萧山区,java开发工程师,在校/应届,本科,10k-12k,发展前景大、福利待遇好,"其他,金融",开发|测试|运维类,"管理规范,岗位晋升,五险一金,绩效奖金",后端开发,杭州
2,北京百家互联科技有限公司,跟谁学,2000人以上,上市公司,海淀区,高级java开发工程师,1-3年,本科,18k-28k,餐补，班车，双休,"移动互联网,教育",开发|测试|运维类,"节日礼物,技能培训,股票期权,精英团队",后端开发,北京
3,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,Java开发工程师,1-3年,本科,20k-40k,六险一金，加班双倍工资，免费三餐下午茶…,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
4,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,Java高级开发工程师,5-10年,本科,20k-40k,"足够的技术,挑战和有,创造力的,团队",企业服务,开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",后端开发,北京
5,北京百家互联科技有限公司,跟谁学,2000人以上,上市公司,海淀区,高级Java开发工程师,3-5年,本科,20k-40k,六险一金、绩效奖金,"移动互联网,教育",开发|测试|运维类,"节日礼物,技能培训,股票期权,精英团队",后端开发,北京
6,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,高级Java开发工程师,3-5年,本科,20k-40k,福利好、定期团建、环境氛围好,"移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
7,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,Java开发工程师,1-3年,本科,16k-25k,"平台大,福利众多,不打卡,团队风味好","移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
8,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,Java工程师,3-5年,本科,20k-40k,免费三餐 发展空间大,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
9,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,Java开发工程师,5-10年,本科,25k-50k,三餐免费 10天年假 有机会拿股票,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
10,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,java开发工程师,不限,本科,20k-40k,免费三餐 健身房 租房补贴,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
11,岩心科技（深圳）有限公司,AKULAKU,500-2000人,D轮及以上,南山区,java开发工程师,3-5年,不限,15k-25k,发展前景好、扁平管理、带薪年假,"移动互联网,金融",开发|测试|运维类,"美女如云,股票期权,高速发展,扁平管理",后端开发,深圳
12,上海阑途信息技术有限公司,途虎养车网,2000人以上,D轮及以上,闵行区,高级java开发工程师,5-10年,本科,20k-40k,"内部晋升,公司平台好",汽车丨出行,开发|测试|运维类,"技能培训,节日礼物,岗位晋升,领导好",后端开发,上海
13,上海阑途信息技术有限公司,途虎养车网,2000人以上,D轮及以上,闵行区,高级java开发工程师,3-5年,本科,20k-40k,大平台，核心技术部门,汽车丨出行,开发|测试|运维类,"技能培训,节日礼物,岗位晋升,领导好",后端开发,上海
14,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,余杭区,JAVA开发工程师,不限,本科,35k-60k,"六险一金,弹性工作,免费三餐,租房补贴",文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,杭州
15,Amber AI Limited,Amber Group,150-500人,不需要融资,南山区,Java开发工程师,3-5年,本科,20k-40k,五险一金 绩效奖 年终奖 下午茶,"金融,区块链",开发|测试|运维类,"绩效奖金,定期体检,交通补助,岗位晋升",后端开发,深圳
16,广州细刻网络科技有限公司,广州细刻,500-2000人,A轮,番禺区,java开发工程师,3-5年,大专,15k-25k,"职位晋升,五险一金,餐补",电商,开发|测试|运维类,,后端开发,广州
17,福建顶点软件股份有限公司,顶点软件,500-2000人,上市公司,鼓楼区,高级JAVA开发工程师,3-5年,本科,10k-15k,"五险一金,年底双薪,过节费,体检旅游","移动互联网,企业服务",开发|测试|运维类,"技能培训,节日礼物,专项奖金,带薪年假",后端开发,福州
18,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,资深java开发工程师,5-10年,本科,25k-50k,福利待遇好，周末双休，发展空间大,企业服务,开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",后端开发,北京
19,岩心科技（深圳）有限公司,AKULAKU,500-2000人,D轮及以上,南山区,金融系统高级Java开发(J10781),3-5年,本科,20k-30k,东南亚独角兽 绩效激励,"移动互联网,金融",开发|测试|运维类,"美女如云,股票期权,高速发展,扁平管理",后端开发,深圳
20,东华软件股份公司,东华,2000人以上,上市公司,高新技术产业开发区,java开发工程师,1-3年,本科,8k-15k,上市公司、五险一金、年终奖、弹性工作制,"企业服务,数据服务",开发|测试|运维类,"年底双薪,专项奖金,股票期权,带薪年假",后端开发,西安
21,东华软件股份公司,东华,2000人以上,上市公司,浑南区,java,3-5年,不限,8k-15k,上市公司、五险一金、年终奖、弹性工作制,"企业服务,数据服务",开发|测试|运维类,"年底双薪,专项奖金,股票期权,带薪年假",后端开发,沈阳
22,北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,Java开发工程师,3-5年,本科,25k-35k,从零到一参与中台业务项目的设计和搭建,"移动互联网,教育",开发|测试|运维类,"股票期权,年底双薪,五险一金,带薪年假",后端开发,北京
23,上海识装信息科技有限公司,得物App,500-2000人,B轮,,高级java开发工程师,3-5年,本科,20k-40k,绩效奖金，带薪年假，下午茶，饮料畅饮,"移动互联网,电商",开发|测试|运维类,"绩效奖金,带薪年假,定期体检,节日礼物",后端开发,上海
