,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,上海敬游软件科技有限公司,上海敬游软件,150-500人,不需要融资,浦东新区,《42万顶薪》PHP开发工程师0208,3-5年,本科,10k-15k,年终奖金、五险一金、餐费补贴、弹性工作,游戏,开发|测试|运维类,"技能培训,带薪年假,岗位晋升,扁平管理",后端开发,上海
1,北京七麦科技股份有限公司,七麦科技,150-500人,上市公司,朝阳区,高级php开发工程师,3-5年,本科,20k-30k,五险一金，带薪年假，提供三餐，节假日福利,移动互联网,开发|测试|运维类,"定期体检,弹性工作,包早午餐,六险一金",后端开发,北京
2,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,高级PHP开发工程师,3-5年,本科,20k-40k,"免费三餐,弹性工作",房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
3,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,php开发工程师,5-10年,本科,25k-50k,免费三餐,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
4,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,PHP开发工程师,不限,本科,25k-40k,六险一金，弹性工作，免费三餐，租房补贴,文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,北京
5,岩心科技（深圳）有限公司,AKULAKU,500-2000人,D轮及以上,朝阳区,高级php开发工程师,3-5年,本科,15k-30k,带薪年假，扁平管理，五险一金，发展空间大,"移动互联网,金融",开发|测试|运维类,"美女如云,股票期权,高速发展,扁平管理",后端开发,北京
6,北京值得买科技股份有限公司,什么值得买,500-2000人,上市公司,丰台区,PHP开发工程师（商业化）,5-10年,本科,25k-35k,大数据 扁平化 电商导流,电子商务,开发|测试|运维类,"技能培训,带薪年假,各种主题趴,海量产品体验",后端开发,北京
7,北京值得买科技股份有限公司,什么值得买,500-2000人,上市公司,市北区,PHP开发工程师QD001,1-3年,大专,8k-15k,五险一金 绩效奖金 节日福利,电子商务,开发|测试|运维类,"技能培训,带薪年假,各种主题趴,海量产品体验",后端开发,青岛
8,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级PHP/GO研发工程师,不限,本科,20k-40k,"五险一金,团队氛围好,免费三餐",文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,北京
9,深圳市众云网有限公司,众云网,50-150人,不需要融资,南山区,PHP开发工程师,3-5年,本科,10k-16k,"团队氛围好,五险一金,周末双休","企业服务,信息安全",开发|测试|运维类,"节日礼物,股票期权,带薪年假,绩效奖金",后端开发,深圳
10,深圳市德科信息技术有限公司,德科信息,2000人以上,不需要融资,南山区,php工程师,3-5年,本科,12k-17k,双休，平台好，发展前景好,"软件开发,物联网",开发|测试|运维类,"股票期权,帅哥多,领导好,技能培训",后端开发,深圳
11,深圳市既明科技有限公司,既明科技,15-50人,不需要融资,南山区,php开发工程师,1-3年,大专,8k-16k,"快速成长,大品牌项目,领导优秀",移动互联网,开发|测试|运维类,"带薪年假,交通补助,节日礼物,五险一金",后端开发,深圳
12,广州酷麦信息科技有限公司,酷麦,50-150人,不需要融资,天河区,PHP工程师,1-3年,本科,10k-16k,"五险一金,餐饮补贴,周末双休,年终奖",移动互联网,开发|测试|运维类,"节日礼物,年底双薪,股票期权,带薪年假",后端开发,广州
