,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,北京猎户星空科技有限公司,猎户星空,500-2000人,B轮,朝阳区,Python开发工程师,3-5年,本科,18k-35k,高速发展，潜力无限,"移动互联网,硬件",开发|测试|运维类,"弹性工作,五险一金,股票期权,带薪年假",后端开发,北京
1,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,Python工程师,3-5年,本科,20k-40k,免费三餐 发展空间,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
2,北京值得买科技股份有限公司,什么值得买,500-2000人,上市公司,市北区,Python开发工程师,3-5年,大专,8k-15k,五险一金、节日福利、周末双休、带薪年假,电子商务,开发|测试|运维类,"技能培训,带薪年假,各种主题趴,海量产品体验",后端开发,青岛
3,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-35k,六险一金，高薪期权，弹性工作，免费三餐,文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,北京
4,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,杨浦区,Python开发工程师,3-5年,本科,25k-40k,六险一金，弹性工作，免费三餐，餐补,文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,上海
5,岩心科技（深圳）有限公司,AKULAKU,500-2000人,D轮及以上,南山区,python系统架构师/高级后台开发,5-10年,本科,30k-40k,东南亚独角兽，绩效激励,"移动互联网,金融",开发|测试|运维类,"美女如云,股票期权,高速发展,扁平管理",后端开发,深圳
6,岩心科技（深圳）有限公司,AKULAKU,500-2000人,D轮及以上,南山区,python后台开发工程师（风控方向）(J10797),3-5年,本科,20k-30k,绩效激励 东南亚独角兽,"移动互联网,金融",开发|测试|运维类,"美女如云,股票期权,高速发展,扁平管理",后端开发,深圳
7,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,python助教,1-3年,本科,10k-15k,七险一金，弹性工作制，领导nice,企业服务,教育|培训,"五险一金,弹性工作,带薪年假,免费两餐",培训,北京
8,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,python讲师,5-10年,本科,30k-45k,七险一金，弹性工作制，领导nice,企业服务,开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",后端开发,北京
9,北京值得买科技股份有限公司,什么值得买,500-2000人,上市公司,市北区,中级Python开发工程师,3-5年,不限,8k-15k,五险一金、节日福利、周末双休、带薪年假,电子商务,开发|测试|运维类,"技能培训,带薪年假,各种主题趴,海量产品体验",后端开发,青岛
